ano,mes_numero,mes,data,categoria,subcategoria,indicador,indicador_completo,valor
2021,3,MAR,2021-03-01,EDUCAÇÃO,Ensino regular,aguardando vaga,Ensino regular - aguardando vaga,0.0
2021,3,MAR,2021-03-01,EDUCAÇÃO,Ensino regular,matriculados,Ensino regular - matriculados,3.0
2021,3,MAR,2021-03-01,EDUCAÇÃO,SCFV,"Outros: Reforço escolar, psicopedagoga, trabalho educativo","SCFV - Outros: Reforço escolar, psicopedagoga, trabalho educativo",0.0
2021,3,MAR,2021-03-01,EDUCAÇÃO,SCFV,aguardando vaga,SCFV - aguardando vaga,0.0
2021,3,MAR,2021-03-01,EDUCAÇÃO,SCFV,matriculados,SCFV - matriculados,0.0
2021,3,MAR,2021-03-01,PROFISSIONALIZAÇÃO,,Encaminhados para curso profissionalizante,Encaminhados para curso profissionalizante,0.0
2021,3,MAR,2021-03-01,PROFISSIONALIZAÇÃO,,Encaminhados para mercado de trabalho,Encaminhados para mercado de trabalho,0.0
2021,3,MAR,2021-03-01,PROFISSIONALIZAÇÃO,,Inseridos em curso profissionalizante,Inseridos em curso profissionalizante,0.0
2021,3,MAR,2021-03-01,PROFISSIONALIZAÇÃO,,Inseridos no mercado de trabalho,Inseridos no mercado de trabalho,0.0
2021,3,MAR,2021-03-01,SAÚDE,,Internações,Internações,0.0
2021,3,MAR,2021-03-01,SAÚDE,,Saúde clínica,Saúde clínica,9.0
2021,3,MAR,2021-03-01,SAÚDE,,Saúde mental,Saúde mental,17.0
2021,3,MAR,2021-03-01,,,Apadrinhamento afetivo,Apadrinhamento afetivo,12.0
2021,3,MAR,2021-03-01,,,Atendimento familiar,Atendimento familiar,27.0
2021,3,MAR,2021-03-01,,,Atendimentos individual,Atendimentos individual,41.0
2021,3,MAR,2021-03-01,,,Colocação em família substituta,Colocação em família substituta,0.0
2021,3,MAR,2021-03-01,,,Desligamentos,Desligamentos,0.0
2021,3,MAR,2021-03-01,,,Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),0.0
2021,3,MAR,2021-03-01,,,Efetivos na casa,Efetivos na casa,14.0
2021,3,MAR,2021-03-01,,,Evasão,Evasão,0.0
2021,3,MAR,2021-03-01,,,Interface com educação,Interface com educação,39.0
2021,3,MAR,2021-03-01,,,Interface com judiciário,Interface com judiciário,10.0
2021,3,MAR,2021-03-01,,,Interface com rede socioassistencial,Interface com rede socioassistencial,12.0
2021,3,MAR,2021-03-01,,,Interface com saúde,Interface com saúde,11.0
2021,3,MAR,2021-03-01,,,Novos ingressos,Novos ingressos,1.0
2021,3,MAR,2021-03-01,,,PIAs / Relatórios,PIAs / Relatórios,8.0
2021,3,MAR,2021-03-01,,,"Reunião de equipe (técnica, casa, coordenação, gerente)","Reunião de equipe (técnica, casa, coordenação, gerente)",7.0
2021,3,MAR,2021-03-01,,,Transferências,Transferências,0.0
2021,3,MAR,2021-03-01,,,Visitas Domiciliares,Visitas Domiciliares,0.0
2021,4,ABR,2021-04-01,EDUCAÇÃO,Ensino EJA,aguardando vaga,Ensino EJA - aguardando vaga,0.0
2021,4,ABR,2021-04-01,EDUCAÇÃO,Ensino EJA,matriculados,Ensino EJA - matriculados,0.0
2021,4,ABR,2021-04-01,EDUCAÇÃO,Ensino infantil,aguardando vaga,Ensino infantil - aguardando vaga,6.0
2021,4,ABR,2021-04-01,EDUCAÇÃO,Ensino infantil,matriculados,Ensino infantil - matriculados,1.0
2021,4,ABR,2021-04-01,EDUCAÇÃO,Ensino regular,aguardando vaga,Ensino regular - aguardando vaga,0.0
2021,4,ABR,2021-04-01,EDUCAÇÃO,Ensino regular,matriculados,Ensino regular - matriculados,0.0
2021,4,ABR,2021-04-01,EDUCAÇÃO,SCFV,"Outros: Reforço escolar, psicopedagoga, trabalho educativo","SCFV - Outros: Reforço escolar, psicopedagoga, trabalho educativo",0.0
2021,4,ABR,2021-04-01,EDUCAÇÃO,SCFV,aguardando vaga,SCFV - aguardando vaga,0.0
2021,4,ABR,2021-04-01,EDUCAÇÃO,SCFV,matriculados,SCFV - matriculados,0.0
2021,4,ABR,2021-04-01,PROFISSIONALIZAÇÃO,,Encaminhados para curso profissionalizante,Encaminhados para curso profissionalizante,0.0
2021,4,ABR,2021-04-01,PROFISSIONALIZAÇÃO,,Encaminhados para mercado de trabalho,Encaminhados para mercado de trabalho,0.0
2021,4,ABR,2021-04-01,PROFISSIONALIZAÇÃO,,Inseridos em curso profissionalizante,Inseridos em curso profissionalizante,0.0
2021,4,ABR,2021-04-01,PROFISSIONALIZAÇÃO,,Inseridos no mercado de trabalho,Inseridos no mercado de trabalho,0.0
2021,4,ABR,2021-04-01,SAÚDE,,Internações,Internações,0.0
2021,4,ABR,2021-04-01,SAÚDE,,Saúde clínica,Saúde clínica,8.0
2021,4,ABR,2021-04-01,SAÚDE,,Saúde mental,Saúde mental,12.0
2021,4,ABR,2021-04-01,,,Apadrinhamento afetivo,Apadrinhamento afetivo,0.0
2021,4,ABR,2021-04-01,,,Atendimento familiar,Atendimento familiar,5.0
2021,4,ABR,2021-04-01,,,Atendimentos individual,Atendimentos individual,10.0
2021,4,ABR,2021-04-01,,,Colocação em família substituta,Colocação em família substituta,0.0
2021,4,ABR,2021-04-01,,,Desligamentos,Desligamentos,0.0
2021,4,ABR,2021-04-01,,,Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),1.0
2021,4,ABR,2021-04-01,,,Efetivos na casa,Efetivos na casa,15.0
2021,4,ABR,2021-04-01,,,Evasão,Evasão,0.0
2021,4,ABR,2021-04-01,,,Interface com educação,Interface com educação,10.0
2021,4,ABR,2021-04-01,,,Interface com judiciário,Interface com judiciário,5.0
2021,4,ABR,2021-04-01,,,Interface com rede socioassistencial,Interface com rede socioassistencial,7.0
2021,4,ABR,2021-04-01,,,Interface com saúde,Interface com saúde,6.0
2021,4,ABR,2021-04-01,,,Novos ingressos,Novos ingressos,1.0
2021,4,ABR,2021-04-01,,,PIAs / Relatórios,PIAs / Relatórios,3.0
2021,4,ABR,2021-04-01,,,"Reunião de equipe (técnica, casa, coordenação, gerente)","Reunião de equipe (técnica, casa, coordenação, gerente)",3.0
2021,4,ABR,2021-04-01,,,Transferências,Transferências,0.0
2021,4,ABR,2021-04-01,,,Visitas Domiciliares,Visitas Domiciliares,0.0
2021,5,MAI,2021-05-01,EDUCAÇÃO,Ensino EJA,aguardando vaga,Ensino EJA - aguardando vaga,0.0
2021,5,MAI,2021-05-01,EDUCAÇÃO,Ensino EJA,matriculados,Ensino EJA - matriculados,0.0
2021,5,MAI,2021-05-01,EDUCAÇÃO,Ensino infantil,aguardando vaga,Ensino infantil - aguardando vaga,4.0
2021,5,MAI,2021-05-01,EDUCAÇÃO,Ensino infantil,matriculados,Ensino infantil - matriculados,5.0
2021,5,MAI,2021-05-01,EDUCAÇÃO,Ensino regular,aguardando vaga,Ensino regular - aguardando vaga,0.0
2021,5,MAI,2021-05-01,EDUCAÇÃO,Ensino regular,matriculados,Ensino regular - matriculados,0.0
2021,5,MAI,2021-05-01,EDUCAÇÃO,SCFV,"Outros: Reforço escolar, psicopedagoga, trabalho educativo","SCFV - Outros: Reforço escolar, psicopedagoga, trabalho educativo",0.0
2021,5,MAI,2021-05-01,EDUCAÇÃO,SCFV,aguardando vaga,SCFV - aguardando vaga,0.0
2021,5,MAI,2021-05-01,EDUCAÇÃO,SCFV,matriculados,SCFV - matriculados,0.0
2021,5,MAI,2021-05-01,PROFISSIONALIZAÇÃO,,Encaminhados para curso profissionalizante,Encaminhados para curso profissionalizante,0.0
2021,5,MAI,2021-05-01,PROFISSIONALIZAÇÃO,,Encaminhados para mercado de trabalho,Encaminhados para mercado de trabalho,0.0
2021,5,MAI,2021-05-01,PROFISSIONALIZAÇÃO,,Inseridos em curso profissionalizante,Inseridos em curso profissionalizante,0.0
2021,5,MAI,2021-05-01,PROFISSIONALIZAÇÃO,,Inseridos no mercado de trabalho,Inseridos no mercado de trabalho,0.0
2021,5,MAI,2021-05-01,SAÚDE,,Internações,Internações,0.0
2021,5,MAI,2021-05-01,SAÚDE,,Saúde clínica,Saúde clínica,0.0
2021,5,MAI,2021-05-01,SAÚDE,,Saúde mental,Saúde mental,15.0
2021,5,MAI,2021-05-01,,,Apadrinhamento afetivo,Apadrinhamento afetivo,0.0
2021,5,MAI,2021-05-01,,,Atendimento familiar,Atendimento familiar,13.0
2021,5,MAI,2021-05-01,,,Atendimentos individual,Atendimentos individual,51.0
2021,5,MAI,2021-05-01,,,Colocação em família substituta,Colocação em família substituta,0.0
2021,5,MAI,2021-05-01,,,Desligamentos,Desligamentos,0.0
2021,5,MAI,2021-05-01,,,Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),1.0
2021,5,MAI,2021-05-01,,,Efetivos na casa,Efetivos na casa,16.0
2021,5,MAI,2021-05-01,,,Evasão,Evasão,1.0
2021,5,MAI,2021-05-01,,,Interface com educação,Interface com educação,1.0
2021,5,MAI,2021-05-01,,,Interface com judiciário,Interface com judiciário,9.0
2021,5,MAI,2021-05-01,,,Interface com rede socioassistencial,Interface com rede socioassistencial,15.0
2021,5,MAI,2021-05-01,,,Interface com saúde,Interface com saúde,20.0
2021,5,MAI,2021-05-01,,,Novos ingressos,Novos ingressos,1.0
2021,5,MAI,2021-05-01,,,PIAs / Relatórios,PIAs / Relatórios,15.0
2021,5,MAI,2021-05-01,,,"Reunião de equipe (técnica, casa, coordenação, gerente)","Reunião de equipe (técnica, casa, coordenação, gerente)",5.0
2021,5,MAI,2021-05-01,,,Transferências,Transferências,0.0
2021,5,MAI,2021-05-01,,,Visitas Domiciliares,Visitas Domiciliares,0.0
2021,6,JUN,2021-06-01,EDUCAÇÃO,Ensino EJA,aguardando vaga,Ensino EJA - aguardando vaga,0.0
2021,6,JUN,2021-06-01,EDUCAÇÃO,Ensino EJA,matriculados,Ensino EJA - matriculados,0.0
2021,6,JUN,2021-06-01,EDUCAÇÃO,Ensino infantil,aguardando vaga,Ensino infantil - aguardando vaga,4.0
